name;companyid;ifgenerated
JX Nippon Oil & Gas Exploration Brasil Ltda;1;0
JX Nippon Oil & Gas Exploration Qatar Limited;1;0
JX Nippon Oil & Gas Exploration Malaysia Limited;1;0
JX Nippon Oil & Gas Exploration Australia Pty Ltd.;1;0
JX Nippon Oil & Gas Exploration Technical Services Corporation;1;0
JX Nippon Oil & Gas Exploration Sarawak, Ltd;1;0
Nippon Oil Exploration U.S.A. Limited;1;0
Nippon Oil Exploration Sarawak Limited;1;0
JX Nippon Oil & Gas Exploration Corporation;1;0
Nippon Oil Exploration Limited;1;0
JX Nippon Oil & Gas Exploration Myanmar Limited;1;0
Pirelli Neumaticos S.A. De Cv;2;0
Pirelli Neumaticos Sa;2;0
Pirelli Neumaticos Argentina Sa;2;0
Pirelli De Venezuela C.A.;2;0
Pirelli Neumaticos Sa De;2;0
Pirelli Neumaticos S.A.I.C.;2;0
Pirelli Tyre Co., Ltd.;2;0
Pirelli Pneus Ltda;2;0
Pirelli Neumaticos Sa De Cv Boulev;2;0
Pirelli Tire Llc;2;0
Pirelli Neumaticos Sa De Cv.;2;0
Pirelli Neumaticos S.A. De C.V.;2;0
Brenntag Australia Pty Ltd.;3;0
Brenntag Colombia S.A.;3;0
Brenntag Peru S.A.C.;3;0
Brenntag Ecuador S.A.;3;0
Brenntag Group;3;0
Brenntag Chile Comercial E Industrial Ltda;3;0
Brenntag Vietnam Co., Ltd.;3;0
Brenntag Ingredients Inc.;3;0
Brenntag Mexico S.A. De C.V.;3;0
Brenntag Chile Comercial E Ind;3;0
PAUL BAUDER GMBH & CO KG, BOCHUM PLANT;4;0
PAUL BAUDER GMBH & CO.KG, ACHIM PLANT;4;0
PAUL BAUDER GMBH & CO KG, STUTTGART PLANT;4;0
PAUL BAUDER GMBH & CO KG, LANDSBERG PLANT;4;0
PAUL BAUDER GMBH & CO KG;4;0
Paul Bauder GmbH & Co. KG;4;0
Paul Bauder ag;4;0
TOTAL RUMUNIA;5;0
Total Romania S.A.;5;0
TOTAL Polska Sp. z o.o.;5;0
TOTAL CESKA REPUBLIKA s.r.o.;5;0
Total Petrochemicals France SA;5;0
Total Bitumen GmbH;5;0
TOTAL CZECH REPUBLIC;5;0
TOTAL POLSKA;5;0
Total Bitumen Deutschland GmbH;5;0
TOTAL FRANCE ARNAY LE DUC;5;0
TOTAL PETROCHEMICALS FRANCE;5;0
Bridgestone Firestone De Mexico Sa De Cv;6;0
Bridgestone India Automotive;6;0
Bridgestone Firestone Venezolana C;6;0
Bridgestone India;6;0
Warren Plant Bato Bridgestone;6;0
Bridgestone China Research And Development Co., Ltd.;6;0
Shenyang Bridgestone;6;0
Bridgestone Neumaticos De;6;0
Bridgestone Golf Shenzhen Co., Ltd.;6;0
Bridgestone Canada Inc.;6;0
Bridgestone India Automotive Products Private Ltd.;6;0
Bridgestone Do Brasil Industria E Comercio Ltda;6;0
Bridgestone Ncr;6;0
Bridgestone Firestone Do Brasil;6;0
Bridgestone Firestone Venezolana;6;0
Bridgestone Huizhou Tire Co., Ltd.;6;0
Bridgestone De Costa Rica Sociedad Anoni;6;0
Bridgestone International Group;6;0
Thai Bridgestone Co., Ltd.;6;0
Bridgestone Tire;6;0
Bridgestone Do Brasil Industria & Comercio Ltda;6;0
Bridgestone Tianjin Tire Co., Ltd.;6;0
Bridgestone Tire Co.;6;0
Bridgestone De Mexico S.A. De C.V.;6;0
Bridgestone Neumaticos De Monterreysa De Cv;6;0
Bridgestone Stargard Sp Zoo;6;0
Bridgestone India Pvt., Ltd.;6;0
Bridgestone Hosepower Llc;6;0
Pt Bridgestone Tire Indonesia;6;0
Bridgestone Do Brasil Industria E Comenrcio Ltda;6;0
Bridgestone De Costa Rica S.A.;6;0
